Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,0.56,0.56,0.56,0.56,0.56

06-08-2016,0.56,0.55,0.55,0.55,0.55
06-09-2016,0.55,0.56,0.56,0.56,0.56
06-10-2016,0.56,0.57,0.57,0.57,0.57
06-13-2016,0.57,0.58,0.58,0.58,0.58
06-14-2016,0.57,0.58,0.58,0.58,0.58
06-15-2016,0.58,0.58,0.58,0.58,0.58
06-16-2016,0.58,0.58,0.58,0.58,0.58
06-17-2016,0.58,0.58,0.58,0.58,0.58
06-19-2016,0.58,0.58,0.58,0.58,0.58
06-21-2016,0.58,0.58,0.58,0.58,0.58
06-22-2016,0.58,0.58,0.58,0.58,0.58
06-23-2016,0.58,0.59,0.59,0.59,0.59
06-24-2016,0.58,0.59,0.59,0.59,0.59
06-27-2016,0.59,0.60,0.60,0.60,0.60
06-28-2016,0.59,0.60,0.60,0.60,0.60
06-29-2016,0.59,0.60,0.60,0.60,0.60
06-30-2016,0.59,0.60,0.60,0.60,0.60
07-01-2016,0.59,0.60,0.60,0.60,0.60
07-05-2016,0.60,0.60,0.60,0.60,0.60
07-05-2016,0.60,0.60,0.60,0.60,0.60
07-07-2016,0.60,0.60,0.60,0.60,0.60
07-08-2016,0.60,0.60,0.60,0.60,0.60
07-11-2016,0.60,0.60,0.60,0.60,0.60
07-12-2016,0.60,0.61,0.61,0.61,0.61
