Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,0.91,0.90,0.90,0.90,0.90
05-19-2016,0.90,0.90,0.90,0.90,0.90
05-20-2016,0.90,0.94,0.94,0.94,0.94
05-20-2016,0.94,0.94,0.94,0.94,0.94
05-23-2016,0.94,0.98,0.98,0.98,0.98
05-24-2016,0.98,1.01,1.01,1.01,1.01
05-25-2016,1.01,1.05,1.05,1.05,1.05
05-26-2016,1.05,1.10,1.10,1.10,1.10
05-27-2016,1.10,1.11,1.11,1.11,1.11
05-30-2016,1.11,1.06,1.06,1.06,1.06
05-31-2016,1.06,1.01,1.01,1.01,1.01
06-01-2016,1.01,0.96,0.96,0.96,0.96
06-02-2016,0.96,0.92,0.92,0.92,0.92
06-04-2016,0.92,0.89,0.89,0.89,0.89
06-06-2016,0.92,0.89,0.89,0.89,0.89
06-07-2016,0.92,0.89,0.89,0.89,0.89
06-08-2016,0.89,0.85,0.85,0.85,0.85
06-09-2016,0.89,0.85,0.85,0.85,0.85
06-10-2016,0.89,0.85,0.85,0.85,0.85
06-13-2016,0.89,0.85,0.85,0.85,0.85
06-14-2016,0.89,0.85,0.85,0.85,0.85
06-15-2016,0.89,0.85,0.85,0.85,0.85
06-16-2016,0.89,0.85,0.85,0.85,0.85
06-17-2016,0.89,0.85,0.85,0.85,0.85
06-19-2016,0.89,0.85,0.85,0.85,0.85
06-21-2016,0.89,0.85,0.85,0.85,0.85
06-22-2016,0.89,0.85,0.85,0.85,0.85
06-23-2016,0.85,0.81,0.81,0.81,0.81
06-24-2016,0.85,0.81,0.81,0.81,0.81
06-27-2016,0.85,0.81,0.81,0.81,0.81
06-28-2016,0.85,0.81,0.81,0.81,0.81
06-29-2016,0.85,0.81,0.81,0.81,0.81
06-30-2016,0.85,0.81,0.81,0.81,0.81
07-01-2016,0.85,0.81,0.81,0.81,0.81
07-05-2016,0.85,0.81,0.81,0.81,0.81
07-05-2016,0.85,0.81,0.81,0.81,0.81
07-08-2016,0.85,0.81,0.81,0.81,0.81
07-08-2016,0.85,0.81,0.81,0.81,0.81
07-11-2016,0.85,0.81,0.81,0.81,0.81
07-12-2016,0.85,0.81,0.81,0.81,0.81
