Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,0.46,0.44,0.44,0.44,0.44
05-19-2016,0.44,0.44,0.46,0.42,0.42
05-19-2016,0.44,0.44,0.46,0.42,0.42
05-20-2016,0.42,0.41,0.41,0.41,0.41
05-23-2016,0.41,0.39,0.39,0.39,0.39
05-24-2016,0.39,0.38,0.38,0.38,0.38
05-25-2016,0.38,0.37,0.37,0.37,0.37
05-26-2016,0.37,0.38,0.38,0.38,0.38
05-27-2016,0.37,0.38,0.38,0.38,0.38
05-30-2016,0.37,0.38,0.38,0.38,0.38
05-31-2016,0.37,0.38,0.38,0.38,0.38
06-01-2016,0.37,0.38,0.38,0.38,0.38
06-02-2016,0.38,0.39,0.39,0.39,0.39
06-04-2016,0.39,0.40,0.40,0.40,0.40
06-06-2016,0.39,0.40,0.40,0.40,0.40
06-07-2016,0.40,0.40,0.42,0.40,0.42
06-08-2016,0.40,0.40,0.42,0.40,0.42
06-09-2016,0.40,0.40,0.42,0.40,0.42
06-10-2016,0.40,0.40,0.42,0.40,0.42
06-13-2016,0.40,0.40,0.42,0.40,0.42
06-14-2016,0.42,0.40,0.40,0.40,0.40
06-15-2016,0.40,0.38,0.40,0.38,0.40
06-16-2016,0.40,0.38,0.40,0.38,0.40
06-17-2016,0.40,0.40,0.40,0.40,0.40
06-19-2016,0.40,0.38,0.40,0.38,0.38
06-21-2016,0.38,0.37,0.39,0.37,0.39
06-22-2016,0.39,0.39,0.40,0.39,0.40
06-23-2016,0.40,0.40,0.40,0.38,0.38
06-24-2016,0.40,0.40,0.40,0.38,0.38
06-27-2016,0.40,0.40,0.40,0.38,0.38
06-28-2016,0.38,0.38,0.39,0.38,0.39
06-29-2016,0.39,0.39,0.39,0.39,0.39
06-30-2016,0.39,0.39,0.40,0.39,0.40
07-01-2016,0.40,0.38,0.42,0.38,0.42
07-05-2016,0.42,0.42,0.44,0.40,0.44
07-05-2016,0.44,0.46,0.46,0.46,0.46
07-07-2016,0.46,0.46,0.48,0.44,0.48
07-08-2016,0.48,0.48,0.48,0.48,0.48
07-11-2016,0.48,0.46,0.47,0.46,0.46
07-12-2016,0.46,0.46,0.48,0.46,0.48
07-13-2016,0.48,0.48,0.50,0.46,0.49
