Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,98.00,94.05,94.05,94.05,94.05
05-19-2016,98.00,94.05,94.05,94.05,94.05
05-19-2016,98.00,94.05,94.05,94.05,94.05
05-20-2016,98.00,94.05,94.05,94.05,94.05
05-23-2016,98.00,94.05,94.05,94.05,94.05
05-24-2016,98.00,94.05,94.05,94.05,94.05
05-25-2016,94.05,94.00,94.00,94.00,94.00
05-26-2016,94.05,94.00,94.00,94.00,94.00
05-27-2016,94.05,94.00,94.00,94.00,94.00
05-30-2016,94.05,94.00,94.00,94.00,94.00
05-31-2016,94.05,94.00,94.00,94.00,94.00
06-01-2016,94.05,94.00,94.00,94.00,94.00
06-02-2016,94.05,94.00,94.00,94.00,94.00
06-04-2016,94.05,94.00,94.00,94.00,94.00
06-06-2016,94.00,95.00,95.00,95.00,95.00
06-07-2016,94.00,95.00,95.00,95.00,95.00
06-08-2016,95.00,95.00,95.00,95.00,95.00
06-09-2016,95.00,95.00,95.00,95.00,95.00
06-10-2016,95.00,95.00,95.00,95.00,95.00
06-13-2016,95.00,95.00,95.00,95.00,95.00
06-14-2016,95.00,99.75,99.90,99.75,99.85
06-15-2016,95.00,99.75,99.90,99.75,99.85
06-16-2016,95.00,99.75,99.90,99.75,99.85
06-17-2016,95.00,99.75,99.90,99.75,99.85
06-19-2016,99.85,96.50,96.50,96.50,96.50
06-21-2016,96.50,96.50,96.50,96.50,96.50
06-22-2016,96.50,96.00,97.00,94.00,94.00
06-23-2016,94.00,96.00,96.00,96.00,96.00
06-24-2016,94.00,96.00,96.00,96.00,96.00
06-27-2016,94.00,96.00,96.00,96.00,96.00
06-28-2016,94.00,96.00,96.00,96.00,96.00
06-29-2016,94.00,96.00,96.00,96.00,96.00
06-30-2016,94.00,96.00,96.00,96.00,96.00
07-01-2016,94.00,96.00,96.00,96.00,96.00
07-05-2016,94.00,96.00,96.00,96.00,96.00
07-05-2016,94.00,96.00,96.00,96.00,96.00
07-07-2016,94.00,96.00,96.00,96.00,96.00
07-08-2016,94.00,96.00,96.00,96.00,96.00
07-11-2016,94.00,96.00,96.00,96.00,96.00
07-12-2016,94.00,96.00,96.00,96.00,96.00
