Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,1.77,1.75,1.75,1.75,1.75
05-19-2016,1.77,1.75,1.75,1.75,1.75
05-20-2016,1.75,1.77,1.77,1.77,1.77
05-21-2016,1.75,1.77,1.77,1.77,1.77
05-23-2016,1.75,1.77,1.77,1.77,1.77
05-24-2016,1.75,1.77,1.77,1.77,1.77
05-25-2016,1.77,1.77,1.77,1.77,1.77
05-26-2016,1.77,1.77,1.77,1.77,1.77
05-27-2016,1.77,1.77,1.77,1.77,1.77
05-30-2016,1.77,1.77,1.77,1.77,1.77
05-31-2016,1.77,1.77,1.77,1.77,1.77
06-01-2016,1.77,1.77,1.77,1.77,1.77
06-02-2016,1.77,1.77,1.77,1.77,1.77
06-04-2016,1.77,1.77,1.77,1.77,1.77
06-06-2016,1.77,1.77,1.77,1.77,1.77
06-07-2016,1.77,1.77,1.77,1.77,1.77
06-08-2016,1.77,1.77,1.77,1.77,1.77
06-09-2016,1.77,1.77,1.77,1.77,1.77
06-10-2016,1.77,1.77,1.77,1.77,1.77
06-13-2016,1.77,1.77,1.77,1.77,1.77
06-14-2016,1.77,1.77,1.77,1.77,1.77
06-15-2016,1.77,1.77,1.77,1.77,1.77
06-16-2016,1.77,1.77,1.77,1.77,1.77
06-17-2016,1.77,1.77,1.77,1.77,1.77
06-19-2016,1.77,1.77,1.77,1.77,1.77
06-21-2016,1.77,1.77,1.77,1.77,1.77
06-22-2016,1.77,1.77,1.77,1.77,1.77
06-23-2016,1.77,1.77,1.77,1.77,1.77
06-24-2016,1.77,1.77,1.77,1.77,1.77
06-27-2016,1.77,1.77,1.77,1.77,1.77
06-28-2016,1.77,1.77,1.77,1.77,1.77
06-29-2016,1.77,1.77,1.77,1.77,1.77
06-30-2016,1.77,1.77,1.77,1.77,1.77
07-01-2016,1.77,1.77,1.77,1.77,1.77
07-05-2016,1.77,1.77,1.77,1.77,1.77
07-05-2016,1.77,1.77,1.77,1.77,1.77
07-08-2016,1.77,1.85,1.85,1.85,1.85
07-08-2016,1.77,1.85,1.85,1.85,1.85
07-11-2016,1.85,1.94,1.94,1.94,1.94
07-12-2016,1.94,2.03,2.03,2.03,2.03
